Код;Артикул;Номенклатура;Остаток;Цена
034195;303-496;Кошелек на молнии женский ПВХ 19*10*2,5см./12/;7;159.98
017744;440-097;Крючки на планке 6шт /100/10/;19;75.18
013749;440-033;Крючки на планке 6шт. WF-876 /100/10/;21;76.66
020792;440-204;Крючки самоклеющиеся 2шт.Рыбки/240/10/;32;22.77
028422;49550;Крючки самоклеющиеся 9010 /50/;18;16.18
028419;49553;Крючки самоклеющиеся L /50/;2;13.39
028420;49552;Крючки самоклеющиеся R /50/;15;13.55
022389;440-037;Крючки самоклеющиеся блистере 4шт. /160/10/;115;28.80
013504;440-072;Крючки самоклеющиеся в пакете, 2шт. WF-044/600/50 /20/;18;16.47
020789;440-200;Крючки самоклеющиеся в пакете, 2шт.Ладошка/240/10/;33;25.19
020791;440-203;Крючки самоклеющиеся в пакете, 2шт.Лист кленовый/240/10/;38;22.64
020790;440-202;Крючки самоклеющиеся в пакете, 2шт.Листик/240/10/;54;22.67
026038;440-201;Крючки самоклеющиеся в пакете, 2шт.Цветы/240/10/;35;23.22
015406;440-100;Крючки самоклеющиеся на блистере, 2шт. WF-133 /160/10/;2;29.70
017749;440-124;Крючки самоклеющиеся на блистере, 3шт. /160/10/;24;31.59
026228;440-047;Крючки самоклеющиеся на блистере, 3шт. /160/10/;11;31.19
025453;440-127;Крючки самоклеющиеся на блистере, 3шт. /160/10/;35;33.25
015361;440-106;Крючки самоклеющиеся на блистере, 3шт. WF-095 /160/10/;16;29.71
019283;440-133;Крючки самоклеющиеся на блистере, 3шт. WF-217 /160/10/;39;31.90
013750;440-108;Крючки самоклеющиеся на блистере, 6шт. WF-104 /160/10/;26;30.20
021134;623-235;Крючок 1011 золото /1000/100/;20;12.38
034279;623-036;Крючок 1149S SS мат хром/60/;9;46.65
034278;623-029;Крючок 1149S РВ золото/60/;30;43.63
013245;623-048;Крючок 231В золото /840/84/;7;22.92
032495;623-388;Крючок №3 (2-х рожковый) хром /60/;43;38.70
022201;440-017;Крючок s-образный металл /1000/100/;115;7.76
022339;481-022;Крючок WELLMAXдвойной CWJ211D /100/4/;36;32.14
022182;623-106;Крючок двойной 1037 хром /250/25/;20;64.31
036382;036382;Крючок для вязания 1,0 мм на ручке (металл)/50/;9;10.79
036383;036383;Крючок для вязания 1,5 мм на ручке (металл)/50/;13;10.79
